ClaimID,PolicyID,LossDate,ReportDate,Geography,Industry,PolicySize,RiskRating,IncurredAmount,PaidAmount,ClaimStatus
CLM000084,POL000945,2023-08-03,2024-02-08,Midwest,Warehouse,Small,4.42,1777.88,1129.62,Open - Developing
CLM000085,POL000923,2023-10-09,2024-05-16,Midwest,Healthcare,Small,4.63,2320.46,1811.2,Open - Developed
CLM000086,POL000646,2024-10-25,2024-12-31,Midwest,Warehouse,Large,5.24,88848.14,68673.71,Open - Developed
CLM000087,POL000842,2022-10-29,2024-04-05,West,Office,Large,5.39,163877.92,139213.79,Open - Developed
CLM000088,POL000066,2023-01-13,2023-10-08,Southeast,Office,Small,5.24,14555.9,10832.29,Open - Developing
CLM000089,POL000792,2024-09-15,2024-12-31,Southwest,Hospitality,Small,4.98,2260.4,2193.07,Closed
CLM000090,POL000422,2023-08-27,2024-06-02,Northwest,Warehouse,Large,4.56,58341.84,37528.35,Open - Developing
CLM000091,POL000540,2023-06-19,2023-10-22,Southwest,Warehouse,Medium,5.1,47139.86,30993.36,Open - Developing
CLM000092,POL000924,2024-06-27,2024-07-27,Midwest,Office,Small,5.27,4662.3,2810.85,Open - Developing
CLM000093,POL000629,2024-03-18,2024-03-29,Northeast,Retail,Enterprise,4.18,1391527.08,1270470.9,Open - Developed
CLM000094,POL000493,2023-08-24,2024-05-19,West,Retail,Medium,4.77,26397.87,18488.93,Open - Developing
CLM000095,POL000882,2024-07-09,2024-10-12,Northeast,Healthcare,Small,5.42,5470.87,4087.8,Open - Developing
CLM000096,POL000999,2022-11-22,2024-03-21,Southwest,Office,Medium,5.54,79237.24,70155.45,Open - Developed
CLM000097,POL000962,2024-12-20,2024-12-31,Southeast,Office,Enterprise,5.06,381702.06,274450.92,Open - Developing
CLM000098,POL000317,2023-06-15,2023-11-29,Midwest,Retail,Medium,4.97,139589.25,86743.25,Open - Developing
CLM000099,POL000942,2024-12-19,2024-12-31,Midwest,Retail,Large,4.95,43215.66,29792.77,Open - Developing
CLM000100,POL000837,2024-05-29,2024-06-30,West,Manufacturing,Large,5.36,1064998.92,720284.11,Open - Developing
CLM000101,POL000626,2024-03-21,2024-05-12,Northeast,Hospitality,Small,5.13,5659.35,3922.45,Open - Developing
CLM000102,POL000075,2022-09-05,2024-03-26,Southeast,Warehouse,Large,4.91,54079.43,38722.87,Open - Developing
CLM000103,POL000714,2024-11-12,2024-11-24,Northeast,Technology,Small,5.57,10472.01,6980.28,Open - Developing
CLM000104,POL000939,2024-08-14,2024-09-07,Southwest,Warehouse,Small,4.05,4269.46,2988.72,Open - Developing
CLM000105,POL000059,2022-09-28,2024-02-05,Northwest,Office,Small,5.31,15908.77,10350.53,Open - Developing
CLM000106,POL000386,2023-05-13,2023-10-20,Southwest,Manufacturing,Large,4.34,103328.39,67868.63,Open - Developing
CLM000107,POL000015,2024-10-11,2024-12-31,Northeast,Warehouse,Medium,4.41,24073.82,23374.93,Closed
CLM000108,POL000231,2023-04-28,2023-09-25,Southeast,Office,Medium,4.13,4515.88,3590.3,Open - Developed
CLM000109,POL000617,2022-12-06,2024-08-09,Midwest,Retail,Small,4.61,4509.02,4186.37,Open - Developed
CLM000110,POL000677,2023-02-04,2023-10-12,Southwest,Office,Small,5.74,11229.1,9534.07,Open - Developed
CLM000111,POL000199,2022-12-25,2024-03-28,Southwest,Healthcare,Enterprise,5.08,954235.97,908482.78,Closed
CLM000112,POL000916,2022-05-15,2023-12-02,Northeast,Education,Small,5.59,5029.09,4943.93,Closed
CLM000113,POL000354,2024-10-25,2024-12-01,Northeast,Healthcare,Small,5.61,2131.43,1567.27,Open - Developing
CLM000114,POL000035,2023-04-25,2024-01-18,Midwest,Warehouse,Medium,4.26,20642.45,15399.47,Open - Developing
