PolicyID,Period,EarnedPremium,ExposureUnits,Geography,Industry,PolicySize,RiskRating
POL000005,2024-04,620.91,7.96,West,Retail,Small,4.45
POL000005,2024-05,620.91,8.13,West,Retail,Small,4.45
POL000005,2024-06,620.91,8.09,West,Retail,Small,4.45
POL000005,2024-07,620.91,8.0,West,Retail,Small,4.45
POL000005,2024-08,620.91,8.29,West,Retail,Small,4.45
POL000005,2024-09,620.91,8.34,West,Retail,Small,4.45
POL000005,2024-10,620.91,8.42,West,Retail,Small,4.45
POL000005,2024-11,620.91,8.51,West,Retail,Small,4.45
POL000005,2024-12,620.91,7.94,West,Retail,Small,4.45
POL000006,2023-02,10860.73,190.05,West,Technology,Large,4.71
POL000006,2023-03,10860.73,184.06,West,Technology,Large,4.71
POL000006,2023-04,10860.73,189.32,West,Technology,Large,4.71
POL000006,2023-05,10860.73,185.58,West,Technology,Large,4.71
POL000006,2023-06,10860.73,195.22,West,Technology,Large,4.71
POL000006,2023-07,10860.73,190.29,West,Technology,Large,4.71
POL000006,2023-08,10860.73,194.45,West,Technology,Large,4.71
POL000006,2023-09,10860.73,192.26,West,Technology,Large,4.71
POL000006,2023-10,10860.73,193.53,West,Technology,Large,4.71
POL000006,2023-11,10860.73,191.88,West,Technology,Large,4.71
POL000006,2023-12,10860.73,185.27,West,Technology,Large,4.71
POL000006,2024-01,10860.73,181.41,West,Technology,Large,4.71
POL000006,2024-02,10860.73,183.62,West,Technology,Large,4.71
POL000006,2024-03,10860.73,177.1,West,Technology,Large,4.71
POL000006,2024-04,10860.73,186.48,West,Technology,Large,4.71
POL000006,2024-05,10860.73,186.12,West,Technology,Large,4.71
POL000006,2024-06,10860.73,186.5,West,Technology,Large,4.71
POL000006,2024-07,10860.73,194.85,West,Technology,Large,4.71
POL000006,2024-08,10860.73,193.68,West,Technology,Large,4.71
POL000006,2024-09,10860.73,179.74,West,Technology,Large,4.71
POL000006,2024-10,10860.73,183.59,West,Technology,Large,4.71
POL000006,2024-11,10860.73,184.62,West,Technology,Large,4.71
POL000006,2024-12,10860.73,183.44,West,Technology,Large,4.71
POL000007,2023-12,2958.91,41.51,Southwest,Warehouse,Medium,5.26
POL000007,2024-01,2958.91,40.41,Southwest,Warehouse,Medium,5.26
POL000007,2024-02,2958.91,40.6,Southwest,Warehouse,Medium,5.26
POL000007,2024-03,2958.91,41.73,Southwest,Warehouse,Medium,5.26
POL000007,2024-04,2958.91,41.54,Southwest,Warehouse,Medium,5.26
POL000007,2024-05,2958.91,38.83,Southwest,Warehouse,Medium,5.26
POL000007,2024-06,2958.91,41.17,Southwest,Warehouse,Medium,5.26
POL000007,2024-07,2958.91,40.05,Southwest,Warehouse,Medium,5.26
POL000007,2024-08,2958.91,39.48,Southwest,Warehouse,Medium,5.26
POL000007,2024-09,2958.91,38.5,Southwest,Warehouse,Medium,5.26
POL000007,2024-10,2958.91,40.26,Southwest,Warehouse,Medium,5.26
POL000007,2024-11,2958.91,39.73,Southwest,Warehouse,Medium,5.26
POL000007,2024-12,2958.91,39.31,Southwest,Warehouse,Medium,5.26
POL000008,2023-06,639.06,9.61,West,Retail,Small,5.83
POL000008,2023-07,639.06,9.68,West,Retail,Small,5.83
POL000008,2023-08,639.06,9.19,West,Retail,Small,5.83
POL000008,2023-09,639.06,9.01,West,Retail,Small,5.83
POL000008,2023-10,639.06,9.76,West,Retail,Small,5.83
POL000008,2023-11,639.06,8.97,West,Retail,Small,5.83
POL000008,2023-12,639.06,9.84,West,Retail,Small,5.83
POL000008,2024-01,639.06,9.55,West,Retail,Small,5.83
POL000008,2024-02,639.06,9.26,West,Retail,Small,5.83
POL000008,2024-03,639.06,9.19,West,Retail,Small,5.83
POL000008,2024-04,639.06,8.97,West,Retail,Small,5.83
POL000008,2024-05,639.06,9.18,West,Retail,Small,5.83
POL000008,2024-06,639.06,9.09,West,Retail,Small,5.83
POL000008,2024-07,639.06,9.54,West,Retail,Small,5.83
POL000008,2024-08,639.06,9.12,West,Retail,Small,5.83
POL000008,2024-09,639.06,9.46,West,Retail,Small,5.83
POL000008,2024-10,639.06,9.51,West,Retail,Small,5.83
POL000008,2024-11,639.06,9.24,West,Retail,Small,5.83
POL000008,2024-12,639.06,8.99,West,Retail,Small,5.83
POL000009,2022-02,3010.7,43.38,Northwest,Hospitality,Medium,4.54
POL000009,2022-03,3010.7,43.34,Northwest,Hospitality,Medium,4.54
POL000009,2022-04,3010.7,46.58,Northwest,Hospitality,Medium,4.54
POL000009,2022-05,3010.7,44.66,Northwest,Hospitality,Medium,4.54
POL000009,2022-06,3010.7,46.84,Northwest,Hospitality,Medium,4.54
POL000009,2022-07,3010.7,45.18,Northwest,Hospitality,Medium,4.54
POL000009,2022-08,3010.7,45.28,Northwest,Hospitality,Medium,4.54
POL000009,2022-09,3010.7,45.55,Northwest,Hospitality,Medium,4.54
POL000009,2022-10,3010.7,46.46,Northwest,Hospitality,Medium,4.54
POL000009,2022-11,3010.7,44.46,Northwest,Hospitality,Medium,4.54
POL000009,2022-12,3010.7,43.77,Northwest,Hospitality,Medium,4.54
POL000009,2023-01,3010.7,45.75,Northwest,Hospitality,Medium,4.54
POL000009,2023-02,3010.7,44.7,Northwest,Hospitality,Medium,4.54
POL000009,2023-03,3010.7,45.23,Northwest,Hospitality,Medium,4.54
POL000009,2023-04,3010.7,46.16,Northwest,Hospitality,Medium,4.54
POL000009,2023-05,3010.7,45.46,Northwest,Hospitality,Medium,4.54
POL000009,2023-06,3010.7,46.04,Northwest,Hospitality,Medium,4.54
POL000009,2023-07,3010.7,45.69,Northwest,Hospitality,Medium,4.54
POL000009,2023-08,3010.7,46.58,Northwest,Hospitality,Medium,4.54
POL000009,2023-09,3010.7,46.43,Northwest,Hospitality,Medium,4.54
POL000009,2023-10,3010.7,45.65,Northwest,Hospitality,Medium,4.54
POL000009,2023-11,3010.7,46.3,Northwest,Hospitality,Medium,4.54
POL000009,2023-12,3010.7,47.19,Northwest,Hospitality,Medium,4.54
POL000009,2024-01,3010.7,45.18,Northwest,Hospitality,Medium,4.54
POL000009,2024-02,3010.7,45.09,Northwest,Hospitality,Medium,4.54
POL000009,2024-03,3010.7,46.69,Northwest,Hospitality,Medium,4.54
POL000009,2024-04,3010.7,45.87,Northwest,Hospitality,Medium,4.54
POL000009,2024-05,3010.7,43.54,Northwest,Hospitality,Medium,4.54
POL000009,2024-06,3010.7,47.27,Northwest,Hospitality,Medium,4.54
POL000009,2024-07,3010.7,43.36,Northwest,Hospitality,Medium,4.54
POL000009,2024-08,3010.7,46.62,Northwest,Hospitality,Medium,4.54
POL000009,2024-09,3010.7,46.67,Northwest,Hospitality,Medium,4.54
POL000009,2024-10,3010.7,47.55,Northwest,Hospitality,Medium,4.54
POL000009,2024-11,3010.7,43.46,Northwest,Hospitality,Medium,4.54
POL000009,2024-12,3010.7,45.93,Northwest,Hospitality,Medium,4.54
POL000010,2024-08,9755.59,167.65,Midwest,Technology,Large,4.19
POL000010,2024-09,9755.59,166.01,Midwest,Technology,Large,4.19
POL000010,2024-10,9755.59,161.95,Midwest,Technology,Large,4.19
POL000010,2024-11,9755.59,169.93,Midwest,Technology,Large,4.19
POL000010,2024-12,9755.59,168.52,Midwest,Technology,Large,4.19
POL000011,2024-06,3660.0,52.93,Northeast,Manufacturing,Medium,5.04
POL000011,2024-07,3660.0,55.73,Northeast,Manufacturing,Medium,5.04
POL000011,2024-08,3660.0,56.42,Northeast,Manufacturing,Medium,5.04
POL000011,2024-09,3660.0,56.58,Northeast,Manufacturing,Medium,5.04
POL000011,2024-10,3660.0,57.34,Northeast,Manufacturing,Medium,5.04
POL000011,2024-11,3660.0,54.61,Northeast,Manufacturing,Medium,5.04
POL000011,2024-12,3660.0,57.61,Northeast,Manufacturing,Medium,5.04
POL000012,2024-11,3040.28,45.99,Northwest,Warehouse,Medium,4.91
POL000012,2024-12,3040.28,43.47,Northwest,Warehouse,Medium,4.91
POL000013,2022-07,3001.63,42.93,Northeast,Retail,Medium,4.86
POL000013,2022-08,3001.63,44.15,Northeast,Retail,Medium,4.86
POL000013,2022-09,3001.63,44.0,Northeast,Retail,Medium,4.86
POL000013,2022-10,3001.63,44.78,Northeast,Retail,Medium,4.86
POL000013,2022-11,3001.63,44.81,Northeast,Retail,Medium,4.86
POL000013,2022-12,3001.63,45.55,Northeast,Retail,Medium,4.86
POL000013,2023-01,3001.63,44.48,Northeast,Retail,Medium,4.86
POL000013,2023-02,3001.63,42.68,Northeast,Retail,Medium,4.86
POL000013,2023-03,3001.63,46.03,Northeast,Retail,Medium,4.86
POL000013,2023-04,3001.63,43.59,Northeast,Retail,Medium,4.86
POL000013,2023-05,3001.63,46.53,Northeast,Retail,Medium,4.86
POL000013,2023-06,3001.63,42.74,Northeast,Retail,Medium,4.86
POL000013,2023-07,3001.63,46.48,Northeast,Retail,Medium,4.86
POL000013,2023-08,3001.63,42.62,Northeast,Retail,Medium,4.86
POL000013,2023-09,3001.63,43.24,Northeast,Retail,Medium,4.86
POL000013,2023-10,3001.63,42.43,Northeast,Retail,Medium,4.86
POL000013,2023-11,3001.63,45.35,Northeast,Retail,Medium,4.86
POL000013,2023-12,3001.63,46.0,Northeast,Retail,Medium,4.86
POL000013,2024-01,3001.63,44.15,Northeast,Retail,Medium,4.86
POL000013,2024-02,3001.63,46.34,Northeast,Retail,Medium,4.86
POL000013,2024-03,3001.63,44.84,Northeast,Retail,Medium,4.86
POL000013,2024-04,3001.63,45.02,Northeast,Retail,Medium,4.86
POL000013,2024-05,3001.63,45.98,Northeast,Retail,Medium,4.86
POL000013,2024-06,3001.63,43.54,Northeast,Retail,Medium,4.86
POL000013,2024-07,3001.63,43.79,Northeast,Retail,Medium,4.86
POL000013,2024-08,3001.63,46.24,Northeast,Retail,Medium,4.86
POL000013,2024-09,3001.63,46.22,Northeast,Retail,Medium,4.86
POL000013,2024-10,3001.63,46.56,Northeast,Retail,Medium,4.86
POL000013,2024-11,3001.63,46.23,Northeast,Retail,Medium,4.86
POL000013,2024-12,3001.63,42.78,Northeast,Retail,Medium,4.86
POL000014,2023-11,514.83,11.14,Southeast,Retail,Small,4.15
POL000014,2023-12,514.83,10.69,Southeast,Retail,Small,4.15
POL000014,2024-01,514.83,11.32,Southeast,Retail,Small,4.15
POL000014,2024-02,514.83,10.76,Southeast,Retail,Small,4.15
POL000014,2024-03,514.83,10.85,Southeast,Retail,Small,4.15
POL000014,2024-04,514.83,10.82,Southeast,Retail,Small,4.15
POL000014,2024-05,514.83,10.6,Southeast,Retail,Small,4.15
POL000014,2024-06,514.83,10.33,Southeast,Retail,Small,4.15
POL000014,2024-07,514.83,11.22,Southeast,Retail,Small,4.15
POL000014,2024-08,514.83,11.12,Southeast,Retail,Small,4.15
POL000014,2024-09,514.83,10.4,Southeast,Retail,Small,4.15
POL000014,2024-10,514.83,11.09,Southeast,Retail,Small,4.15
POL000014,2024-11,514.83,10.93,Southeast,Retail,Small,4.15
POL000014,2024-12,514.83,10.69,Southeast,Retail,Small,4.15
POL000015,2024-08,2981.82,48.57,Northeast,Warehouse,Medium,4.41
POL000015,2024-09,2981.82,51.58,Northeast,Warehouse,Medium,4.41
POL000015,2024-10,2981.82,50.79,Northeast,Warehouse,Medium,4.41
POL000015,2024-11,2981.82,50.03,Northeast,Warehouse,Medium,4.41
POL000015,2024-12,2981.82,50.34,Northeast,Warehouse,Medium,4.41
POL000016,2022-09,549.08,8.02,Southwest,Education,Small,5.21
POL000016,2022-10,549.08,8.34,Southwest,Education,Small,5.21
POL000016,2022-11,549.08,8.1,Southwest,Education,Small,5.21
POL000016,2022-12,549.08,8.12,Southwest,Education,Small,5.21
POL000016,2023-01,549.08,8.49,Southwest,Education,Small,5.21
POL000016,2023-02,549.08,8.7,Southwest,Education,Small,5.21
POL000016,2023-03,549.08,8.28,Southwest,Education,Small,5.21
POL000016,2023-04,549.08,8.12,Southwest,Education,Small,5.21
POL000016,2023-05,549.08,8.48,Southwest,Education,Small,5.21
POL000016,2023-06,549.08,8.67,Southwest,Education,Small,5.21
POL000016,2023-07,549.08,8.57,Southwest,Education,Small,5.21
POL000016,2023-08,549.08,8.67,Southwest,Education,Small,5.21
POL000016,2023-09,549.08,8.39,Southwest,Education,Small,5.21
POL000016,2023-10,549.08,8.57,Southwest,Education,Small,5.21
POL000016,2023-11,549.08,8.06,Southwest,Education,Small,5.21
POL000016,2023-12,549.08,8.23,Southwest,Education,Small,5.21
POL000016,2024-01,549.08,8.27,Southwest,Education,Small,5.21
POL000016,2024-02,549.08,8.37,Southwest,Education,Small,5.21
POL000016,2024-03,549.08,8.72,Southwest,Education,Small,5.21
POL000016,2024-04,549.08,8.67,Southwest,Education,Small,5.21
POL000016,2024-05,549.08,8.05,Southwest,Education,Small,5.21
POL000016,2024-06,549.08,8.09,Southwest,Education,Small,5.21
POL000016,2024-07,549.08,8.24,Southwest,Education,Small,5.21
POL000016,2024-08,549.08,8.19,Southwest,Education,Small,5.21
POL000016,2024-09,549.08,8.46,Southwest,Education,Small,5.21
POL000016,2024-10,549.08,8.7,Southwest,Education,Small,5.21
POL000016,2024-11,549.08,8.75,Southwest,Education,Small,5.21
POL000016,2024-12,549.08,8.49,Southwest,Education,Small,5.21
POL000017,2023-09,2959.58,48.56,Northeast,Office,Medium,5.01
POL000017,2023-10,2959.58,47.09,Northeast,Office,Medium,5.01
POL000017,2023-11,2959.58,45.6,Northeast,Office,Medium,5.01
POL000017,2023-12,2959.58,47.09,Northeast,Office,Medium,5.01
POL000017,2024-01,2959.58,47.23,Northeast,Office,Medium,5.01
POL000017,2024-02,2959.58,48.11,Northeast,Office,Medium,5.01
POL000017,2024-03,2959.58,45.65,Northeast,Office,Medium,5.01
POL000017,2024-04,2959.58,46.35,Northeast,Office,Medium,5.01
POL000017,2024-05,2959.58,46.33,Northeast,Office,Medium,5.01
POL000017,2024-06,2959.58,49.13,Northeast,Office,Medium,5.01
POL000017,2024-07,2959.58,46.71,Northeast,Office,Medium,5.01
POL000017,2024-08,2959.58,48.17,Northeast,Office,Medium,5.01
POL000017,2024-09,2959.58,48.15,Northeast,Office,Medium,5.01
POL000017,2024-10,2959.58,45.87,Northeast,Office,Medium,5.01
POL000017,2024-11,2959.58,47.31,Northeast,Office,Medium,5.01
POL000017,2024-12,2959.58,48.82,Northeast,Office,Medium,5.01
POL000018,2023-05,10092.19,180.19,Southwest,Office,Large,4.24
POL000018,2023-06,10092.19,188.68,Southwest,Office,Large,4.24
POL000018,2023-07,10092.19,175.48,Southwest,Office,Large,4.24
POL000018,2023-08,10092.19,172.95,Southwest,Office,Large,4.24
POL000018,2023-09,10092.19,187.71,Southwest,Office,Large,4.24
POL000018,2023-10,10092.19,186.92,Southwest,Office,Large,4.24
POL000018,2023-11,10092.19,189.54,Southwest,Office,Large,4.24
POL000018,2023-12,10092.19,183.88,Southwest,Office,Large,4.24
POL000018,2024-01,10092.19,188.53,Southwest,Office,Large,4.24
POL000018,2024-02,10092.19,186.55,Southwest,Office,Large,4.24
POL000018,2024-03,10092.19,186.86,Southwest,Office,Large,4.24
POL000018,2024-04,10092.19,181.89,Southwest,Office,Large,4.24
POL000018,2024-05,10092.19,178.52,Southwest,Office,Large,4.24
POL000018,2024-06,10092.19,188.49,Southwest,Office,Large,4.24
POL000018,2024-07,10092.19,179.41,Southwest,Office,Large,4.24
POL000018,2024-08,10092.19,181.34,Southwest,Office,Large,4.24
POL000018,2024-09,10092.19,179.67,Southwest,Office,Large,4.24
POL000018,2024-10,10092.19,181.81,Southwest,Office,Large,4.24
POL000018,2024-11,10092.19,180.11,Southwest,Office,Large,4.24
POL000018,2024-12,10092.19,172.47,Southwest,Office,Large,4.24
POL000019,2022-05,3656.04,48.57,West,Warehouse,Medium,5.01
POL000019,2022-06,3656.04,46.52,West,Warehouse,Medium,5.01
POL000019,2022-07,3656.04,47.2,West,Warehouse,Medium,5.01
POL000019,2022-08,3656.04,45.09,West,Warehouse,Medium,5.01
POL000019,2022-09,3656.04,44.46,West,Warehouse,Medium,5.01
POL000019,2022-10,3656.04,45.59,West,Warehouse,Medium,5.01
POL000019,2022-11,3656.04,47.74,West,Warehouse,Medium,5.01
POL000019,2022-12,3656.04,44.91,West,Warehouse,Medium,5.01
POL000019,2023-01,3656.04,48.69,West,Warehouse,Medium,5.01
POL000019,2023-02,3656.04,45.45,West,Warehouse,Medium,5.01
POL000019,2023-03,3656.04,45.4,West,Warehouse,Medium,5.01
POL000019,2023-04,3656.04,45.29,West,Warehouse,Medium,5.01
POL000019,2023-05,3656.04,44.51,West,Warehouse,Medium,5.01
POL000019,2023-06,3656.04,48.05,West,Warehouse,Medium,5.01
POL000019,2023-07,3656.04,48.53,West,Warehouse,Medium,5.01
POL000019,2023-08,3656.04,47.31,West,Warehouse,Medium,5.01
POL000019,2023-09,3656.04,45.32,West,Warehouse,Medium,5.01
POL000019,2023-10,3656.04,45.78,West,Warehouse,Medium,5.01
POL000019,2023-11,3656.04,46.67,West,Warehouse,Medium,5.01
POL000019,2023-12,3656.04,48.91,West,Warehouse,Medium,5.01
POL000019,2024-01,3656.04,45.6,West,Warehouse,Medium,5.01
POL000019,2024-02,3656.04,47.86,West,Warehouse,Medium,5.01
POL000019,2024-03,3656.04,46.5,West,Warehouse,Medium,5.01
POL000019,2024-04,3656.04,45.83,West,Warehouse,Medium,5.01
POL000019,2024-05,3656.04,46.57,West,Warehouse,Medium,5.01
POL000019,2024-06,3656.04,44.77,West,Warehouse,Medium,5.01
POL000019,2024-07,3656.04,48.18,West,Warehouse,Medium,5.01
POL000019,2024-08,3656.04,45.58,West,Warehouse,Medium,5.01
POL000019,2024-09,3656.04,47.83,West,Warehouse,Medium,5.01
POL000019,2024-10,3656.04,44.76,West,Warehouse,Medium,5.01
POL000019,2024-11,3656.04,48.91,West,Warehouse,Medium,5.01
POL000019,2024-12,3656.04,45.34,West,Warehouse,Medium,5.01
POL000020,2024-03,4205.79,53.59,West,Hospitality,Medium,6.49
POL000020,2024-04,4205.79,53.21,West,Hospitality,Medium,6.49
POL000020,2024-05,4205.79,54.02,West,Hospitality,Medium,6.49
POL000020,2024-06,4205.79,51.5,West,Hospitality,Medium,6.49
POL000020,2024-07,4205.79,52.78,West,Hospitality,Medium,6.49
POL000020,2024-08,4205.79,50.94,West,Hospitality,Medium,6.49
POL000020,2024-09,4205.79,49.98,West,Hospitality,Medium,6.49
POL000020,2024-10,4205.79,51.32,West,Hospitality,Medium,6.49
POL000020,2024-11,4205.79,49.88,West,Hospitality,Medium,6.49
POL000020,2024-12,4205.79,54.1,West,Hospitality,Medium,6.49
POL000021,2023-05,506.96,7.74,Northwest,Technology,Small,5.15
POL000021,2023-06,506.96,8.14,Northwest,Technology,Small,5.15
POL000021,2023-07,506.96,8.17,Northwest,Technology,Small,5.15
POL000021,2023-08,506.96,8.1,Northwest,Technology,Small,5.15
POL000021,2023-09,506.96,8.2,Northwest,Technology,Small,5.15
POL000021,2023-10,506.96,7.76,Northwest,Technology,Small,5.15
POL000021,2023-11,506.96,8.11,Northwest,Technology,Small,5.15
POL000021,2023-12,506.96,7.9,Northwest,Technology,Small,5.15
POL000021,2024-01,506.96,8.43,Northwest,Technology,Small,5.15
POL000021,2024-02,506.96,8.28,Northwest,Technology,Small,5.15
POL000021,2024-03,506.96,8.45,Northwest,Technology,Small,5.15
POL000021,2024-04,506.96,7.7,Northwest,Technology,Small,5.15
POL000021,2024-05,506.96,7.9,Northwest,Technology,Small,5.15
POL000021,2024-06,506.96,7.82,Northwest,Technology,Small,5.15
POL000021,2024-07,506.96,7.68,Northwest,Technology,Small,5.15
POL000021,2024-08,506.96,7.86,Northwest,Technology,Small,5.15
POL000021,2024-09,506.96,8.21,Northwest,Technology,Small,5.15
POL000021,2024-10,506.96,7.85,Northwest,Technology,Small,5.15
POL000021,2024-11,506.96,8.08,Northwest,Technology,Small,5.15
POL000021,2024-12,506.96,8.38,Northwest,Technology,Small,5.15
POL000022,2023-02,3056.53,46.18,Southeast,Healthcare,Medium,5.13
POL000022,2023-03,3056.53,44.82,Southeast,Healthcare,Medium,5.13
POL000022,2023-04,3056.53,44.72,Southeast,Healthcare,Medium,5.13
POL000022,2023-05,3056.53,45.1,Southeast,Healthcare,Medium,5.13
POL000022,2023-06,3056.53,43.84,Southeast,Healthcare,Medium,5.13
POL000022,2023-07,3056.53,45.91,Southeast,Healthcare,Medium,5.13
POL000022,2023-08,3056.53,44.68,Southeast,Healthcare,Medium,5.13
POL000022,2023-09,3056.53,46.9,Southeast,Healthcare,Medium,5.13
POL000022,2023-10,3056.53,46.46,Southeast,Healthcare,Medium,5.13
POL000022,2023-11,3056.53,45.8,Southeast,Healthcare,Medium,5.13
POL000022,2023-12,3056.53,44.68,Southeast,Healthcare,Medium,5.13
POL000022,2024-01,3056.53,43.99,Southeast,Healthcare,Medium,5.13
POL000022,2024-02,3056.53,46.55,Southeast,Healthcare,Medium,5.13
POL000022,2024-03,3056.53,45.24,Southeast,Healthcare,Medium,5.13
POL000022,2024-04,3056.53,44.05,Southeast,Healthcare,Medium,5.13
POL000022,2024-05,3056.53,43.92,Southeast,Healthcare,Medium,5.13
POL000022,2024-06,3056.53,43.78,Southeast,Healthcare,Medium,5.13
POL000022,2024-07,3056.53,46.56,Southeast,Healthcare,Medium,5.13
POL000022,2024-08,3056.53,44.07,Southeast,Healthcare,Medium,5.13
POL000022,2024-09,3056.53,45.42,Southeast,Healthcare,Medium,5.13
POL000022,2024-10,3056.53,45.08,Southeast,Healthcare,Medium,5.13
POL000022,2024-11,3056.53,45.66,Southeast,Healthcare,Medium,5.13
POL000022,2024-12,3056.53,47.01,Southeast,Healthcare,Medium,5.13
POL000023,2024-01,2694.79,59.39,Midwest,Technology,Medium,5.28
POL000023,2024-02,2694.79,57.0,Midwest,Technology,Medium,5.28
POL000023,2024-03,2694.79,54.5,Midwest,Technology,Medium,5.28
POL000023,2024-04,2694.79,56.86,Midwest,Technology,Medium,5.28
POL000023,2024-05,2694.79,57.89,Midwest,Technology,Medium,5.28
POL000023,2024-06,2694.79,57.61,Midwest,Technology,Medium,5.28
POL000023,2024-07,2694.79,58.15,Midwest,Technology,Medium,5.28
POL000023,2024-08,2694.79,55.3,Midwest,Technology,Medium,5.28
POL000023,2024-09,2694.79,58.12,Midwest,Technology,Medium,5.28
POL000023,2024-10,2694.79,55.46,Midwest,Technology,Medium,5.28
POL000023,2024-11,2694.79,58.72,Midwest,Technology,Medium,5.28
POL000023,2024-12,2694.79,56.36,Midwest,Technology,Medium,5.28
POL000024,2024-10,652.0,9.68,Southwest,Retail,Small,5.73
POL000024,2024-11,652.0,9.05,Southwest,Retail,Small,5.73
POL000024,2024-12,652.0,9.39,Southwest,Retail,Small,5.73
POL000025,2024-11,57310.67,945.77,Northwest,Office,Enterprise,5.6
POL000025,2024-12,57310.67,901.46,Northwest,Office,Enterprise,5.6
POL000026,2022-05,10111.84,185.65,Southeast,Office,Large,4.78
POL000026,2022-06,10111.84,182.69,Southeast,Office,Large,4.78
POL000026,2022-07,10111.84,181.91,Southeast,Office,Large,4.78
POL000026,2022-08,10111.84,177.69,Southeast,Office,Large,4.78
POL000026,2022-09,10111.84,180.01,Southeast,Office,Large,4.78
